V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
NE	  0.646	   -Inf	   -Inf	  0.590	  0.613	  1.940	  2.139	 -0.289	 -0.798	  1.875	  2.011	  1.163	  0.080
SE	  2.173	  3.752	  3.885	  2.472	  2.482	  2.526	  2.811	  2.004	  1.376	 -0.879	  3.855	  0.367	 -1.056
SW	  3.123	  2.297	  2.295	  2.407	  2.414	  2.892	  2.338	  1.636	  1.697	  0.027	  1.168	  1.037	 -0.080
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.000	 73.500	 73.500	 73.500	 59.875	 59.875	 59.875	 59.875	 33.000	 33.000	 37.500	 33.000
lon	-12.000	  9.125	 13.375	 33.375	-13.125	 -8.875	  9.375	 45.000	 -9.000	  7.500	 27.250	 45.000
N	  3.081	 -0.799	 -0.788	 -0.347	  3.034	  2.305	 -0.822	  0.869	  2.316	  1.980	  1.378	  3.752
S	  2.803	  2.061	  2.559	  2.583	  2.942	  2.305	  1.610	  1.228	 -0.903	 -0.336	  0.544	 -0.394
W	  1.714	  2.814	  2.814	  2.814	  1.708	  1.708	  1.708	  1.708	  0.856	  2.002	  1.664	  2.002
E	 -0.093	 -1.631	 -1.631	 -1.631	 -0.069	 -0.069	 -0.069	 -0.069	  2.417	  2.417	  1.182	  2.417
NW	  3.140	   -Inf	   -Inf	   -Inf	  3.203	  2.918	  1.229	 -0.368	  1.273	  1.948	  1.595	  3.169
NE	  2.400	   -Inf	   -Inf	   -Inf	  2.660	  1.680	  0.138	 -0.880	  1.196	  1.358	  1.306	  0.044
SE	  2.607	  2.956	  3.091	  2.407	  2.688	  2.654	  1.829	  0.580	 -1.030	 -0.284	  0.313	 -0.506
SW	  3.166	  1.910	  1.753	  2.237	  3.276	  2.691	  1.180	  1.420	 -0.382	 -0.222	  1.091	 -0.044
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 61.12	 73.50	 73.50	 59.88	 59.88	 59.88	 59.88	 46.25	 33.12	 36.50	 33.00
lon	-12.00	 -8.88	 16.62	 36.62	-12.00	 -8.88	  9.25	 30.00	-27.00	  6.25	 27.25	 45.00
N	  2.52	  2.14	 -0.83	 -0.93	  2.52	  2.14	 -0.64	 -0.32	  2.33	  2.54	  1.37	  2.66
S	  3.32	  3.23	  2.55	  2.15	  3.32	  3.23	  1.63	  2.15	  2.07	  0.29	  0.43	 -0.59
